Invoice ID,City,Gender,Product line,Unit price,Quantity,Total,Date,Payment,gross income,Rating
145-94-9061,Mandalay,Female,Food and beverages,88.36,5,463.89,1/25/2019,Cash,22.09,9.6
848-62-7243,Yangon,Male,Health and beauty,24.89,9,235.2105,3/15/2019,Cash,11.2005,7.4
871-79-8483,Mandalay,Male,Fashion accessories,94.13,5,494.1825,2/25/2019,Credit card,23.5325,4.8
149-71-6266,Mandalay,Male,Sports and travel,78.07,9,737.7615,1/28/2019,Cash,35.1315,4.5
640-49-2076,Mandalay,Male,Sports and travel,83.78,8,703.752,1/10/2019,Cash,33.512,5.1
595-11-5460,Yangon,Male,Health and beauty,96.58,2,202.818,3/15/2019,Credit card,9.658,5.1
183-56-6882,Naypyitaw,Female,Food and beverages,99.42,4,417.564,2/6/2019,Ewallet,19.884,7.5
232-16-2483,Naypyitaw,Female,Sports and travel,68.12,1,71.526,1/7/2019,Ewallet,3.406,6.8
129-29-8530,Yangon,Male,Sports and travel,62.62,5,328.755,3/10/2019,Ewallet,15.655,7.0
272-65-1806,Yangon,Female,Electronic accessories,60.88,9,575.316,1/15/2019,Ewallet,27.396,4.7
333-73-7901,Naypyitaw,Female,Health and beauty,54.92,8,461.328,3/23/2019,Ewallet,21.968,7.6
777-82-7220,Mandalay,Male,Home and lifestyle,30.12,8,253.008,3/3/2019,Cash,12.048,7.7
280-35-5823,Mandalay,Female,Home and lifestyle,86.72,1,91.056,1/17/2019,Ewallet,4.336,7.9
554-53-8700,Naypyitaw,Male,Home and lifestyle,56.11,2,117.831,2/2/2019,Cash,5.611,6.3
354-25-5821,Mandalay,Female,Sports and travel,69.12,6,435.456,2/8/2019,Cash,20.736,5.6
228-96-1411,Naypyitaw,Female,Food and beverages,98.7,8,829.08,3/4/2019,Cash,39.48,7.6
617-15-4209,Naypyitaw,Male,Health and beauty,15.37,2,32.277,3/16/2019,Cash,1.537,7.2
132-32-9879,Mandalay,Female,Electronic accessories,93.96,4,394.632,3/9/2019,Cash,18.792,9.5
370-41-7321,Mandalay,Male,Health and beauty,56.69,9,535.7205,2/27/2019,Credit card,25.5105,8.4
727-46-3608,Mandalay,Female,Food and beverages,20.01,9,189.0945,2/6/2019,Ewallet,9.0045,4.1
669-54-1719,Mandalay,Male,Electronic accessories,18.93,6,119.259,2/10/2019,Credit card,5.679,8.1
574-22-5561,Naypyitaw,Female,Fashion accessories,82.63,10,867.615,3/19/2019,Ewallet,41.315,7.9
326-78-5178,Naypyitaw,Male,Food and beverages,91.4,7,671.79,2/3/2019,Cash,31.99,9.5
162-48-8011,Yangon,Female,Food and beverages,44.59,5,234.0975,2/10/2019,Cash,11.1475,8.5
616-24-2851,Mandalay,Female,Fashion accessories,17.87,4,75.054,3/22/2019,Ewallet,3.574,6.5
778-71-5554,Naypyitaw,Male,Fashion accessories,15.43,1,16.2015,1/25/2019,Credit card,0.7715,6.1
242-55-6721,Mandalay,Male,Home and lifestyle,16.16,2,33.936,3/7/2019,Ewallet,1.616,6.5
399-46-5918,Naypyitaw,Female,Electronic accessories,85.98,8,722.232,2/28/2019,Cash,34.392,8.2
106-35-6779,Yangon,Male,Home and lifestyle,44.34,2,93.114,3/27/2019,Cash,4.434,5.8
635-40-6220,Yangon,Male,Health and beauty,89.6,8,752.64,2/7/2019,Ewallet,35.84,6.6
817-48-8732,Yangon,Female,Home and lifestyle,72.35,10,759.675,1/20/2019,Cash,36.175,5.4
120-06-4233,Naypyitaw,Male,Electronic accessories,30.61,6,192.843,3/12/2019,Cash,9.183,9.3
285-68-5083,Naypyitaw,Female,Sports and travel,24.74,3,77.931,2/15/2019,Credit card,3.711,10.0
803-83-5989,Naypyitaw,Male,Home and lifestyle,55.73,6,351.099,2/24/2019,Ewallet,16.719,7.0
347-34-2234,Mandalay,Female,Sports and travel,55.07,9,520.4115,2/3/2019,Ewallet,24.7815,10.0
199-75-8169,Yangon,Male,Sports and travel,15.81,10,166.005,3/6/2019,Credit card,7.905,8.6
853-23-2453,Mandalay,Male,Health and beauty,75.74,4,318.108,2/14/2019,Cash,15.148,7.6
877-22-3308,Yangon,Male,Health and beauty,15.87,10,166.635,3/13/2019,Cash,7.935,5.8
838-78-4295,Naypyitaw,Female,Health and beauty,33.47,2,70.287,2/10/2019,Ewallet,3.347,6.7
109-28-2512,Mandalay,Female,Fashion accessories,97.61,6,614.943,1/7/2019,Ewallet,29.283,9.9
232-11-3025,Yangon,Male,Sports and travel,78.77,10,827.085,1/24/2019,Cash,39.385,6.4
382-03-4532,Yangon,Female,Health and beauty,18.33,1,19.2465,2/2/2019,Cash,0.9165,4.3
393-65-2792,Naypyitaw,Male,Food and beverages,89.48,10,939.54,1/6/2019,Credit card,44.74,9.6
796-12-2025,Naypyitaw,Male,Fashion accessories,62.12,10,652.26,2/11/2019,Cash,31.06,5.9
510-95-6347,Mandalay,Female,Food and beverages,48.52,3,152.838,3/5/2019,Ewallet,7.278,4.0
841-35-6630,Naypyitaw,Female,Electronic accessories,75.91,6,478.233,3/9/2019,Cash,22.773,8.7
287-21-9091,Yangon,Male,Home and lifestyle,74.67,9,705.6315,1/22/2019,Ewallet,33.6015,9.4
732-94-0499,Naypyitaw,Female,Electronic accessories,41.65,10,437.325,1/13/2019,Credit card,20.825,5.4
263-10-3913,Naypyitaw,Male,Fashion accessories,49.04,9,463.428,1/9/2019,Credit card,22.068,8.6
381-20-0914,Yangon,Female,Fashion accessories,20.01,9,189.0945,1/12/2019,Credit card,9.0045,5.7
829-49-1914,Naypyitaw,Female,Food and beverages,78.31,10,822.255,3/5/2019,Ewallet,39.155,6.6
756-01-7507,Naypyitaw,Female,Health and beauty,20.38,5,106.995,1/22/2019,Cash,5.095,6.0
870-72-4431,Naypyitaw,Female,Health and beauty,99.19,6,624.897,1/21/2019,Credit card,29.757,5.5
847-38-7188,Mandalay,Female,Food and beverages,96.68,3,304.542,1/26/2019,Ewallet,14.502,6.4
480-63-2856,Naypyitaw,Male,Food and beverages,19.25,8,161.7,1/23/2019,Ewallet,7.7,6.6
787-56-0757,Naypyitaw,Female,Food and beverages,80.36,4,337.512,2/23/2019,Credit card,16.072,8.3
360-39-5055,Naypyitaw,Male,Sports and travel,48.91,5,256.7775,3/9/2019,Cash,12.2275,6.6
730-50-9884,Naypyitaw,Female,Sports and travel,83.06,7,610.491,3/5/2019,Ewallet,29.071,4.0
362-58-8315,Naypyitaw,Male,Fashion accessories,76.52,5,401.73,3/25/2019,Cash,19.13,9.9
633-44-8566,Yangon,Male,Food and beverages,49.38,7,362.943,3/27/2019,Credit card,17.283,7.3
504-35-8843,Yangon,Male,Sports and travel,42.47,1,44.5935,1/2/2019,Cash,2.1235,5.7
318-68-5053,Mandalay,Female,Health and beauty,76.99,6,485.037,2/27/2019,Cash,23.097,6.1
565-80-5980,Naypyitaw,Female,Home and lifestyle,47.38,4,198.996,1/23/2019,Cash,9.476,7.1
225-32-0908,Naypyitaw,Female,Sports and travel,44.86,10,471.03,1/26/2019,Ewallet,22.43,8.2
873-51-0671,Yangon,Female,Sports and travel,21.98,7,161.553,1/10/2019,Ewallet,7.693,5.1
152-08-9985,Mandalay,Male,Health and beauty,64.36,9,608.202,3/12/2019,Credit card,28.962,8.6
512-91-0811,Naypyitaw,Male,Health and beauty,89.75,1,94.2375,2/6/2019,Credit card,4.4875,6.6
594-34-4444,Yangon,Male,Electronic accessories,97.16,1,102.018,3/8/2019,Ewallet,4.858,7.2
766-85-7061,Mandalay,Male,Health and beauty,87.87,10,922.635,3/29/2019,Ewallet,43.935,5.1
871-39-9221,Naypyitaw,Female,Electronic accessories,12.45,6,78.435,2/9/2019,Cash,3.735,4.1
865-92-6136,Yangon,Male,Food and beverages,52.75,3,166.1625,3/23/2019,Ewallet,7.9125,9.3
733-01-9107,Mandalay,Male,Home and lifestyle,82.7,6,521.01,3/5/2019,Cash,24.81,7.4
163-56-7055,Naypyitaw,Male,Fashion accessories,48.71,1,51.1455,3/26/2019,Cash,2.4355,4.1
189-98-2939,Naypyitaw,Male,Fashion accessories,78.55,9,742.2975,3/1/2019,Cash,35.3475,7.2
551-21-3069,Naypyitaw,Female,Electronic accessories,23.07,9,218.0115,2/1/2019,Cash,10.3815,4.9
212-62-1842,Yangon,Male,Food and beverages,58.26,6,367.038,3/28/2019,Cash,17.478,9.9
716-39-1409,Mandalay,Male,Health and beauty,30.35,7,223.0725,3/19/2019,Cash,10.6225,8.0
704-48-3927,Yangon,Male,Electronic accessories,88.67,10,931.035,1/12/2019,Ewallet,44.335,7.3
628-34-3388,Naypyitaw,Male,Fashion accessories,27.38,6,172.494,1/5/2019,Credit card,8.214,7.9
630-74-5166,Yangon,Male,Sports and travel,62.13,6,391.419,3/22/2019,Cash,18.639,7.4
588-01-7461,Naypyitaw,Female,Food and beverages,33.98,9,321.111,3/24/2019,Cash,15.291,4.2
861-77-0145,Naypyitaw,Male,Electronic accessories,81.97,10,860.685,3/3/2019,Cash,40.985,9.2
479-26-8945,Mandalay,Female,Sports and travel,16.49,2,34.629,2/5/2019,Ewallet,1.649,4.6
210-67-5886,Naypyitaw,Female,Health and beauty,98.21,3,309.3615,2/5/2019,Credit card,14.7315,7.8
227-78-1148,Mandalay,Female,Fashion accessories,72.84,7,535.374,2/15/2019,Cash,25.494,8.4
645-44-1170,Yangon,Male,Home and lifestyle,58.07,9,548.7615,1/19/2019,Ewallet,26.1315,4.3
237-01-6122,Naypyitaw,Female,Home and lifestyle,80.79,9,763.4655,2/1/2019,Credit card,36.3555,9.5
225-98-1496,Naypyitaw,Female,Fashion accessories,27.02,3,85.113,3/2/2019,Credit card,4.053,7.1
291-32-1427,Mandalay,Male,Fashion accessories,21.94,5,115.185,3/5/2019,Ewallet,5.485,5.3
659-65-8956,Mandalay,Male,Fashion accessories,51.36,1,53.928,1/16/2019,Ewallet,2.568,5.2
642-32-2990,Yangon,Female,Food and beverages,10.96,10,115.08,2/2/2019,Ewallet,5.48,6.0
378-24-2715,Mandalay,Male,Home and lifestyle,53.44,2,112.224,1/20/2019,Ewallet,5.344,4.1
638-60-7125,Yangon,Female,Electronic accessories,99.56,8,836.304,2/14/2019,Credit card,39.824,5.2
659-36-1684,Naypyitaw,Male,Sports and travel,57.12,7,419.832,1/12/2019,Credit card,19.992,6.5
219-22-9386,Mandalay,Male,Sports and travel,99.96,9,944.622,3/9/2019,Credit card,44.982,4.2
336-78-2147,Naypyitaw,Male,Home and lifestyle,63.91,8,536.844,3/13/2019,Credit card,25.564,4.6
268-27-6179,Mandalay,Female,Fashion accessories,56.47,8,474.348,3/9/2019,Ewallet,22.588,7.3
668-90-8900,Yangon,Female,Home and lifestyle,93.69,7,688.6215,3/10/2019,Credit card,32.7915,4.5
870-54-3162,Yangon,Female,Sports and travel,32.25,5,169.3125,1/27/2019,Cash,8.0625,9.0
189-08-9157,Naypyitaw,Female,Fashion accessories,31.73,9,299.8485,1/8/2019,Credit card,14.2785,5.9
663-86-9076,Naypyitaw,Female,Food and beverages,68.54,8,575.736,1/8/2019,Ewallet,27.416,8.5
549-84-7482,Mandalay,Female,Sports and travel,90.28,9,853.146,2/8/2019,Ewallet,40.626,7.2
191-10-6171,Mandalay,Female,Fashion accessories,39.62,7,291.207,1/25/2019,Cash,13.867,7.5
802-70-5316,Yangon,Female,Sports and travel,92.13,6,580.419,3/6/2019,Cash,27.639,8.3
695-51-0018,Mandalay,Female,Sports and travel,34.84,4,146.328,2/10/2019,Cash,6.968,7.4
590-83-4591,Mandalay,Male,Electronic accessories,87.45,6,550.935,2/17/2019,Credit card,26.235,8.8
483-71-1164,Naypyitaw,Female,Health and beauty,81.3,6,512.19,3/8/2019,Ewallet,24.39,5.3
597-78-7908,Naypyitaw,Male,Fashion accessories,90.22,3,284.193,2/18/2019,Cash,13.533,6.2
700-81-1757,Yangon,Female,Electronic accessories,26.31,5,138.1275,1/18/2019,Credit card,6.5775,8.8
354-39-5160,Yangon,Female,Home and lifestyle,34.42,6,216.846,2/18/2019,Cash,10.326,9.8
241-72-9525,Mandalay,Male,Sports and travel,51.91,10,545.055,2/16/2019,Cash,25.955,8.2
575-30-8091,Yangon,Male,Sports and travel,72.5,8,609.0,3/16/2019,Ewallet,29.0,9.2
731-81-9469,Naypyitaw,Female,Sports and travel,89.8,10,942.9,1/23/2019,Credit card,44.9,5.4
280-17-4359,Naypyitaw,Male,Health and beauty,90.5,10,950.25,1/25/2019,Cash,45.25,8.1
338-65-2210,Naypyitaw,Female,Health and beauty,68.6,10,720.3,2/5/2019,Cash,34.3,9.1
488-25-4221,Naypyitaw,Female,Food and beverages,30.41,1,31.9305,2/22/2019,Credit card,1.5205,8.4
239-10-7476,Yangon,Female,Home and lifestyle,77.95,6,491.085,1/21/2019,Ewallet,23.385,8.0
458-41-1477,Naypyitaw,Female,Health and beauty,46.26,6,291.438,3/8/2019,Credit card,13.878,9.5
685-64-1609,Yangon,Female,Fashion accessories,30.14,10,316.47,2/10/2019,Ewallet,15.07,9.2
568-90-5112,Naypyitaw,Male,Health and beauty,66.14,4,277.788,3/19/2019,Credit card,13.228,5.6
262-47-2794,Mandalay,Male,Home and lifestyle,71.86,8,603.624,3/6/2019,Credit card,28.744,6.2
238-49-0436,Yangon,Male,Health and beauty,32.46,8,272.664,3/27/2019,Credit card,12.984,4.9
608-96-3517,Mandalay,Female,Fashion accessories,91.54,4,384.468,3/23/2019,Credit card,18.308,4.8
584-86-7256,Naypyitaw,Male,Sports and travel,34.56,7,254.016,3/11/2019,Credit card,12.096,7.3
746-94-0204,Yangon,Male,Fashion accessories,83.24,9,786.618,1/29/2019,Credit card,37.458,7.4
214-17-6927,Naypyitaw,Female,Food and beverages,16.48,6,103.824,2/7/2019,Ewallet,4.944,9.9
400-89-4171,Naypyitaw,Female,Sports and travel,80.97,8,680.148,1/28/2019,Cash,32.388,9.3
782-95-9291,Yangon,Male,Food and beverages,92.29,5,484.5225,2/20/2019,Credit card,23.0725,9.0
279-74-2924,Mandalay,Male,Electronic accessories,72.17,1,75.7785,1/4/2019,Cash,3.6085,6.1
307-85-2293,Mandalay,Male,Home and lifestyle,50.28,5,263.97,3/7/2019,Ewallet,12.57,9.7
743-04-1105,Mandalay,Male,Health and beauty,97.22,9,918.729,3/30/2019,Ewallet,43.749,6.0
423-57-2993,Mandalay,Male,Sports and travel,93.39,6,588.357,3/27/2019,Ewallet,28.017,10.0
894-41-5205,Naypyitaw,Female,Food and beverages,43.18,8,362.712,1/19/2019,Credit card,17.272,8.3
275-28-0149,Yangon,Male,Sports and travel,63.69,1,66.8745,2/25/2019,Cash,3.1845,6.0
101-17-6199,Yangon,Male,Food and beverages,45.79,7,336.5565,3/13/2019,Credit card,16.0265,7.0
423-80-0988,Naypyitaw,Male,Sports and travel,76.4,2,160.44,1/30/2019,Ewallet,7.64,6.5
548-46-9322,Mandalay,Male,Food and beverages,39.9,10,418.95,2/20/2019,Credit card,19.95,5.9
505-02-0892,Mandalay,Male,Health and beauty,42.57,8,357.588,2/25/2019,Ewallet,17.028,5.6
234-65-2137,Naypyitaw,Male,Home and lifestyle,95.58,10,1003.59,1/16/2019,Cash,47.79,4.8
687-47-8271,Yangon,Male,Fashion accessories,98.98,10,1039.29,2/8/2019,Credit card,49.49,8.7
796-32-9050,Yangon,Male,Food and beverages,51.28,6,323.064,1/19/2019,Cash,15.384,6.5
105-31-1824,Yangon,Male,Sports and travel,69.52,7,510.972,2/1/2019,Credit card,24.332,8.5
249-42-3782,Yangon,Male,Health and beauty,70.01,5,367.5525,1/3/2019,Ewallet,17.5025,5.5
316-55-4634,Mandalay,Male,Food and beverages,80.05,5,420.2625,1/26/2019,Credit card,20.0125,9.4
733-33-4967,Naypyitaw,Male,Electronic accessories,20.85,8,175.14,3/3/2019,Cash,8.34,6.3
608-27-6295,Mandalay,Male,Electronic accessories,52.89,6,333.207,1/19/2019,Credit card,15.867,9.8
414-12-7047,Mandalay,Male,Food and beverages,19.79,8,166.236,1/18/2019,Ewallet,7.916,8.7
827-26-2100,Yangon,Male,Home and lifestyle,33.84,9,319.788,3/21/2019,Ewallet,15.228,8.8
175-54-2529,Yangon,Male,Food and beverages,22.17,8,186.228,3/3/2019,Credit card,8.868,9.6
139-52-2867,Naypyitaw,Female,Fashion accessories,22.51,7,165.4485,2/13/2019,Credit card,7.8785,4.8
407-63-8975,Yangon,Male,Food and beverages,73.88,6,465.444,3/23/2019,Ewallet,22.164,4.4
342-65-4817,Naypyitaw,Male,Health and beauty,86.8,3,273.42,1/28/2019,Ewallet,13.02,9.9
130-98-8941,Naypyitaw,Male,Fashion accessories,64.26,7,472.311,2/9/2019,Cash,22.491,5.7
434-83-9547,Naypyitaw,Male,Food and beverages,38.47,8,323.148,1/23/2019,Cash,15.388,7.7
851-28-6367,Yangon,Male,Sports and travel,15.5,10,162.75,3/23/2019,Ewallet,7.75,8.0
824-88-3614,Naypyitaw,Male,Health and beauty,34.31,8,288.204,1/25/2019,Ewallet,13.724,5.7
586-25-0848,Yangon,Female,Sports and travel,12.34,7,90.699,3/4/2019,Credit card,4.319,6.7
895-66-0685,Mandalay,Male,Food and beverages,18.08,3,56.952,3/5/2019,Ewallet,2.712,8.0
305-14-0245,Mandalay,Female,Home and lifestyle,94.49,8,793.716,3/3/2019,Ewallet,37.796,7.5
732-04-5373,Mandalay,Male,Home and lifestyle,46.47,4,195.174,2/8/2019,Cash,9.294,7.0
400-60-7251,Yangon,Male,Home and lifestyle,74.07,1,77.7735,2/10/2019,Ewallet,3.7035,9.9
593-65-1552,Naypyitaw,Female,Home and lifestyle,69.81,4,293.202,1/28/2019,Credit card,13.962,5.9
284-34-9626,Mandalay,Female,Home and lifestyle,77.04,3,242.676,2/11/2019,Credit card,11.556,7.2
437-58-8131,Mandalay,Female,Fashion accessories,73.52,2,154.392,1/15/2019,Ewallet,7.352,4.6
286-43-6208,Naypyitaw,Female,Food and beverages,87.8,9,829.71,3/16/2019,Cash,39.51,9.2
641-43-2399,Mandalay,Male,Home and lifestyle,25.55,4,107.31,1/26/2019,Ewallet,5.11,5.7
831-07-6050,Yangon,Male,Electronic accessories,32.71,5,171.7275,3/19/2019,Credit card,8.1775,9.9
556-86-3144,Naypyitaw,Female,Fashion accessories,74.29,1,78.0045,1/13/2019,Cash,3.7145,5.0
848-24-9445,Naypyitaw,Male,Health and beauty,43.7,2,91.77,3/26/2019,Cash,4.37,4.9
856-22-8149,Yangon,Female,Home and lifestyle,25.29,1,26.5545,3/23/2019,Ewallet,1.2645,6.1
699-01-4164,Naypyitaw,Male,Health and beauty,41.5,4,174.3,3/12/2019,Credit card,8.3,8.2
420-11-4919,Naypyitaw,Female,Food and beverages,71.39,5,374.7975,2/17/2019,Credit card,17.8475,5.5
606-80-4905,Naypyitaw,Female,Sports and travel,19.15,6,120.645,1/29/2019,Credit card,5.745,6.8
542-41-0513,Mandalay,Female,Electronic accessories,57.49,4,241.458,3/15/2019,Cash,11.498,6.6
426-39-2418,Naypyitaw,Male,Electronic accessories,61.41,7,451.3635,1/14/2019,Cash,21.4935,9.8
875-46-5808,Mandalay,Male,Health and beauty,25.9,10,271.95,2/6/2019,Ewallet,12.95,8.7
394-43-4238,Mandalay,Male,Home and lifestyle,17.77,5,93.2925,2/15/2019,Credit card,4.4425,5.4
749-24-1565,Yangon,Female,Health and beauty,23.03,9,217.6335,1/3/2019,Ewallet,10.3635,7.9
672-51-8681,Naypyitaw,Female,Electronic accessories,66.65,9,629.8425,1/4/2019,Credit card,29.9925,9.7
263-87-5680,Naypyitaw,Female,Home and lifestyle,28.53,10,299.565,3/18/2019,Ewallet,14.265,7.8
573-58-9734,Mandalay,Female,Fashion accessories,30.37,3,95.6655,3/28/2019,Ewallet,4.5555,5.1
817-69-8206,Mandalay,Female,Electronic accessories,99.73,9,942.4485,3/2/2019,Credit card,44.8785,6.5
888-02-0338,Yangon,Male,Electronic accessories,26.23,9,247.8735,1/25/2019,Ewallet,11.8035,5.9
677-11-0152,Naypyitaw,Female,Food and beverages,93.26,9,881.307,1/16/2019,Cash,41.967,8.8
142-63-6033,Mandalay,Male,Home and lifestyle,92.36,5,484.89,3/20/2019,Ewallet,23.09,4.9
656-16-1063,Mandalay,Male,Sports and travel,46.42,3,146.223,1/4/2019,Credit card,6.963,4.4
891-58-8335,Mandalay,Female,Sports and travel,29.61,7,217.6335,3/11/2019,Cash,10.3635,6.5
802-43-8934,Yangon,Male,Home and lifestyle,18.28,1,19.194,3/22/2019,Credit card,0.914,8.3
560-30-5617,Mandalay,Female,Sports and travel,24.77,5,130.0425,3/24/2019,Cash,6.1925,8.5
319-74-2561,Yangon,Female,Electronic accessories,94.64,3,298.116,2/21/2019,Cash,14.196,5.5
549-03-9315,Mandalay,Male,Fashion accessories,94.87,8,796.908,2/12/2019,Ewallet,37.948,8.7
790-29-1172,Mandalay,Female,Food and beverages,57.34,3,180.621,3/10/2019,Credit card,8.601,7.9
239-36-3640,Mandalay,Male,Electronic accessories,45.35,6,285.705,1/31/2019,Ewallet,13.605,6.1
468-01-2051,Mandalay,Male,Food and beverages,62.08,7,456.288,3/6/2019,Ewallet,21.728,5.4
389-25-3394,Naypyitaw,Male,Electronic accessories,11.81,5,62.0025,2/17/2019,Cash,2.9525,9.4
279-62-1445,Naypyitaw,Female,Fashion accessories,12.54,1,13.167,2/21/2019,Cash,0.627,8.2
213-72-6612,Yangon,Male,Food and beverages,43.25,2,90.825,3/20/2019,Cash,4.325,6.2
746-68-6593,Naypyitaw,Female,Sports and travel,87.16,2,183.036,1/11/2019,Credit card,8.716,9.7
836-82-5858,Mandalay,Male,Health and beauty,69.37,9,655.5465,1/26/2019,Ewallet,31.2165,4.0
583-72-1480,Naypyitaw,Male,Electronic accessories,37.06,4,155.652,1/31/2019,Ewallet,7.412,9.7
466-61-5506,Mandalay,Female,Electronic accessories,90.7,6,571.41,2/26/2019,Cash,27.21,5.3
721-86-6247,Yangon,Female,Home and lifestyle,63.42,8,532.728,3/11/2019,Ewallet,25.368,7.4
289-65-5721,Mandalay,Female,Fashion accessories,81.37,2,170.877,1/26/2019,Cash,8.137,6.5
545-46-3100,Mandalay,Female,Electronic accessories,10.59,3,33.3585,3/12/2019,Credit card,1.5885,8.7
418-02-5978,Mandalay,Female,Health and beauty,84.09,9,794.6505,2/11/2019,Cash,37.8405,8.0
269-04-5750,Mandalay,Male,Fashion accessories,73.82,4,310.044,2/21/2019,Cash,14.764,6.7
157-13-5295,Yangon,Male,Health and beauty,51.94,10,545.37,3/9/2019,Ewallet,25.97,6.5
645-78-8093,Yangon,Female,Sports and travel,93.14,2,195.594,1/20/2019,Ewallet,9.314,4.1
211-30-9270,Naypyitaw,Male,Health and beauty,17.41,5,91.4025,1/28/2019,Credit card,4.3525,4.9
755-12-3214,Naypyitaw,Female,Fashion accessories,44.22,5,232.155,3/5/2019,Credit card,11.055,8.6
346-84-3103,Mandalay,Female,Electronic accessories,13.22,5,69.405,3/2/2019,Cash,3.305,4.3
478-06-7835,Yangon,Male,Fashion accessories,89.69,1,94.1745,1/11/2019,Ewallet,4.4845,4.9
540-11-4336,Yangon,Male,Food and beverages,24.94,9,235.683,1/11/2019,Credit card,11.223,5.6
448-81-5016,Yangon,Male,Health and beauty,59.77,2,125.517,3/11/2019,Credit card,5.977,5.8
142-72-4741,Naypyitaw,Male,Fashion accessories,93.2,2,195.72,2/28/2019,Credit card,9.32,6.0
217-58-1179,Yangon,Male,Home and lifestyle,62.65,4,263.13,1/5/2019,Cash,12.53,4.2
376-02-8238,Mandalay,Male,Home and lifestyle,93.87,8,788.508,2/2/2019,Credit card,37.548,8.3
530-90-9855,Yangon,Male,Home and lifestyle,47.59,8,399.756,1/1/2019,Cash,19.036,5.7
866-05-7563,Mandalay,Female,Electronic accessories,81.4,3,256.41,2/9/2019,Cash,12.21,4.8
604-70-6476,Yangon,Male,Fashion accessories,17.94,5,94.185,1/23/2019,Ewallet,4.485,6.8
799-71-1548,Yangon,Male,Electronic accessories,77.72,4,326.424,1/7/2019,Credit card,15.544,8.8
785-13-7708,Mandalay,Male,Food and beverages,73.06,7,536.991,1/14/2019,Credit card,25.571,4.2
845-51-0542,Mandalay,Male,Food and beverages,46.55,9,439.8975,2/2/2019,Ewallet,20.9475,6.4
662-47-5456,Naypyitaw,Male,Fashion accessories,35.19,10,369.495,3/17/2019,Credit card,17.595,8.4
883-17-4236,Naypyitaw,Female,Sports and travel,14.39,2,30.219,3/2/2019,Credit card,1.439,7.2
290-68-2984,Yangon,Male,Home and lifestyle,23.75,4,99.75,3/16/2019,Cash,4.75,5.2
704-11-6354,Yangon,Male,Home and lifestyle,58.9,8,494.76,1/6/2019,Cash,23.56,8.9
